job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_raw,salary_min_lpa,salary_max_lpa,salary_disclosed,skills_required,skills_count,job_description,posted_date_raw,work_mode,company_size_bucket,job_url,data_source,scraped_at,salary_tier,experience_tier,is_senior,primary_city,skill_domain,salary_midpoint_lpa,days_since_posted,is_fresher_friendly,salary_negotiable
1,Data Scientist,Cisco,4.1,Bengaluru,Bangalore,Data Scientist,7-10 Yrs,7.0,10.0,Not Disclosed,0.0,0.0,False,"Computer science, Data analysis, data science, Supply chain operations, data visualization, Customer engagement, cisco, Analytics",8,"Bachelor s degree in Statistics, Mathematics, Computer Science, Data Science, or a rela...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,Business Intelligence,0.0,21.0,False,False
2,Data Scientist,Caterpillar Inc,4.1,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0,Not Disclosed,0.0,0.0,False,"Basic, Data management, Business analytics, Analytical, Machine learning, Programming, Data processing, data visualization",8,"Requirements Analysis: Knowledge of tools, methods, and techniques of requirement analy...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-8-years-010526502121,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
3,Analytics Data Scientist,Foreign IT Consulting MNC,3.6,"Hyderabad, Chennai, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,False,Not Available,0,Not Available,Not Available,On-site,Large (1000+),N/A,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Hyderabad,Business Intelligence,0.0,21.0,False,False
4,Data Scientist,Fortune 500 IT Services Company,3.6,"Mumbai, Bengaluru",Bangalore,Data Scientist,10-14 Yrs,0.0,0.0,Not Disclosed,0.0,0.0,False,Not Available,0,Not Available,Not Available,On-site,Small/Startup (<100),N/A,naukri.com,2025-06-10,Undisclosed,Fresher,False,Mumbai,Data Science,0.0,21.0,True,False
5,Sr. Artificial Intelligence Engineer,Fortune 500 Product-based MNC,3.6,"Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,Not Available,0,Not Available,Not Available,On-site,Small/Startup (<100),N/A,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),True,Pune,Data Science,0.0,21.0,False,False
6,Data Scientist,Top Rated IT Enterprise,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,3-8 Yrs,3.0,8.0,Not Disclosed,0.0,0.0,False,Not Available,0,Not Available,Not Available,On-site,Small/Startup (<100),N/A,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Chennai,Data Science,0.0,21.0,False,False
7,Data Scientist,Leading IT Firm,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,Not Available,0,Not Available,Not Available,On-site,Small/Startup (<100),N/A,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Chennai,Data Science,0.0,21.0,False,False
8,Advanced Data Scientist,Exxon Mobil Corporation,3.7,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Supply chain, data science, Aerospace, Machine learning, Agile, Monitoring, Analytics, Python",8,"Experience with software engineering practices, agile methodologies and version control...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
9,"Data Scientist, Google Play, Product",Google,4.4,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Product management, Prototype, data science, Coding, Machine learning, Mathematics, Statistics, Analytics",8,"Minimum qualifications: Bachelor's degree in Statistics, Mathematics, Data Science, E...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
10,Machine Learning Data Scientist,Hsbc,3.8,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0,Not Disclosed,0.0,0.0,False,"python, data analysis, data domain, vertex, data processing, google, anomaly detection, machine learning",8,"Strong communication and collaboration skills, with the ability to work effectively in ...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
